"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft)"|"Map"|"BGN Date"|"Entry Date"|
"Bellevue Cemetery"|"598740"|"Cemetery"|"Berkshire"|"MA"|"423611N"|"0730728W"|"984"|"Windsor"|""|"27-AUG-2002"
"Belmont Reservoir"|"607307"|"Reservoir"|"Berkshire"|"MA"|"422553N"|"0730858W"|"1693"|"Pittsfield East"|""|"24-FEB-1974"
"Belmont Reservoir Dam"|"605388"|"Dam"|"Berkshire"|"MA"|"422554N"|"0730852W"|"1693"|"Pittsfield East"|""|"27-AUG-2002"
"Benedict Pond"|"607308"|"Reservoir"|"Berkshire"|"MA"|"421215N"|"0731714W"|"1578"|"Great Barrington"|""|"24-FEB-1974"
"Benedict Pond Dam"|"605097"|"Dam"|"Berkshire"|"MA"|"421212N"|"0731722W"|"1591"|"Great Barrington"|""|"27-AUG-2002"
"Bennett Brook"|"607855"|"Stream"|"Berkshire"|"MA"|"422500N"|"0730633W"|"1427"|"Peru"|"01-JAN-1946"|"24-FEB-1974"
"Benson Pond"|"607856"|"Lake"|"Berkshire"|"MA"|"422240N"|"0730542W"|"1634"|"Peru"|""|"24-FEB-1974"
"Bentley Brook"|"607309"|"Stream"|"Berkshire"|"MA"|"423325N"|"0731803W"|"1129"|"Hancock"|""|"24-FEB-1974"
"Bentley Hollow"|"607310"|"Valley"|"Berkshire"|"MA"|"423719N"|"0731658W"|"1096"|"Hancock"|""|"24-FEB-1974"
"Benton Brook"|"608012"|"Stream"|"Berkshire"|"MA"|"421107N"|"0730502W"|"1201"|"Otis"|""|"24-FEB-1974"
"Benton Brook Reservoir"|"605064"|"Reservoir"|"Berkshire"|"MA"|"421106N"|"0730458W"|"1207"|"Otis"|""|"27-AUG-2002"
"Benton Hill"|"607311"|"Summit"|"Berkshire"|"MA"|"420425N"|"0731548W"|"1339"|"Ashley Falls"|""|"24-FEB-1974"
"Benton Hill"|"608013"|"Summit"|"Berkshire"|"MA"|"421855N"|"0730428W"|"1732"|"Becket"|""|"24-FEB-1974"
"Benton Pond"|"608014"|"Lake"|"Berkshire"|"MA"|"421103N"|"0730251W"|"1470"|"Otis"|"01-JAN-1961"|"24-FEB-1974"
"Beoadic Mountain"|"606135"|"Summit"|"Berkshire"|"MA"|"423459N"|"0731627W"|"2612"|"Hancock"|""|"27-AUG-2002"
"Berkshire"|"607312"|"Populated Place"|"Berkshire"|"MA"|"423045N"|"0731134W"|"1010"|"Cheshire"|""|"24-FEB-1974"
"Berkshire Athenaeum"|"1978630"|"Building"|"Berkshire"|"MA"|"422652N"|"0731511W"|"1033"|"Pittsfield West"|""|"16-JAN-2003"
"Berkshire Botanical Gardens"|"1978631"|"Park"|"Berkshire"|"MA"|"421810N"|"0732005W"|"833"|"Stockbridge"|""|"16-JAN-2003"
"Berkshire Christian College"|"598705"|"School"|"Berkshire"|"MA"|"422040N"|"0731723W"|"1211"|"Stockbridge"|""|"27-AUG-2002"
"Berkshire Common Shopping Center"|"1978632"|"Locale"|"Berkshire"|"MA"|"422649N"|"0731515W"|"1030"|"Pittsfield West"|""|"16-JAN-2003"
"Berkshire Community College"|"598683"|"School"|"Berkshire"|"MA"|"422735N"|"0731853W"|"1184"|"Pittsfield West"|""|"27-AUG-2002"
"Berkshire Country Day School"|"1978634"|"School"|"Berkshire"|"MA"|"422044N"|"0731937W"|"958"|"Stockbridge"|""|"16-JAN-2003"
"Berkshire Country Day School Library"|"2341960"|"Building"|"Berkshire"|"MA"|"422044N"|"0731938W"|"955"|"Stockbridge"|""|"23-AUG-2007"
"Berkshire County"|"606928"|"Civil"|"Berkshire"|"MA"|"422214N"|"0731223W"|"1811"|"East Lee"|""|"27-AUG-2002"
"Berkshire County Courthouse"|"1978635"|"Building"|"Berkshire"|"MA"|"422651N"|"0731509W"|"1033"|"Pittsfield West"|""|"16-JAN-2003"
"Berkshire County Jail"|"604027"|"Building"|"Berkshire"|"MA"|"422724N"|"0731442W"|"1030"|"Pittsfield East"|""|"27-AUG-2002"
"Berkshire County Sheriff's Office"|"2754795"|"Building"|"Berkshire"|"MA"|"422911N"|"0731235W"|"1050"|"Pittsfield East"|""|"27-JUN-2014"
"Berkshire County Softball Complex"|"1978636"|"Park"|"Berkshire"|"MA"|"422721N"|"0731210W"|"994"|"Pittsfield East"|""|"16-JAN-2003"
"Berkshire Downs (historical)"|"606668"|"Locale"|"Berkshire"|"MA"|"422517N"|"0732044W"|"1155"|"Pittsfield West"|""|"27-AUG-2002"
"Berkshire Elementary School"|"606640"|"School"|"Berkshire"|"MA"|"422717N"|"0731443W"|"1033"|"Pittsfield East"|""|"01-APR-1990"
"Berkshire First Church of the Nazarene"|"1978637"|"Church"|"Berkshire"|"MA"|"422843N"|"0730926W"|"1161"|"Pittsfield East"|""|"16-JAN-2003"
"Berkshire Full Gospel Church"|"1978638"|"Church"|"Berkshire"|"MA"|"422638N"|"0731424W"|"994"|"Pittsfield East"|""|"16-JAN-2003"
